run_id,sample_idx,realization,Dind,Ku1,Aex,alpha,Temp,sigma,mx3_path,out_dir,returncode,timestamp_start,timestamp_end
1,1,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0,mumax_dataset_ku_by_block_disorder/run_00001/run_00001.mx3,mumax_dataset_ku_by_block_disorder/run_00001,0,1764023584.246447,1764023640.068432
2,2,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0107142857142857,mumax_dataset_ku_by_block_disorder/run_00002/run_00002.mx3,mumax_dataset_ku_by_block_disorder/run_00002,0,1764023640.0805533,1764023687.096416
3,3,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0214285714285714,mumax_dataset_ku_by_block_disorder/run_00003/run_00003.mx3,mumax_dataset_ku_by_block_disorder/run_00003,0,1764023687.097714,1764023732.717043
4,4,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0321428571428571,mumax_dataset_ku_by_block_disorder/run_00004/run_00004.mx3,mumax_dataset_ku_by_block_disorder/run_00004,0,1764023732.7185657,1764023778.435604
5,5,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0428571428571428,mumax_dataset_ku_by_block_disorder/run_00005/run_00005.mx3,mumax_dataset_ku_by_block_disorder/run_00005,0,1764023778.4369838,1764023824.5469923
6,6,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0535714285714285,mumax_dataset_ku_by_block_disorder/run_00006/run_00006.mx3,mumax_dataset_ku_by_block_disorder/run_00006,0,1764023824.548395,1764023869.443674
7,7,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0642857142857142,mumax_dataset_ku_by_block_disorder/run_00007/run_00007.mx3,mumax_dataset_ku_by_block_disorder/run_00007,0,1764023869.4452076,1764023922.8982513
8,8,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.075,mumax_dataset_ku_by_block_disorder/run_00008/run_00008.mx3,mumax_dataset_ku_by_block_disorder/run_00008,0,1764023922.8996215,1764023972.2452595
9,9,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0857142857142857,mumax_dataset_ku_by_block_disorder/run_00009/run_00009.mx3,mumax_dataset_ku_by_block_disorder/run_00009,0,1764023972.2466428,1764024018.1946218
10,10,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.0964285714285714,mumax_dataset_ku_by_block_disorder/run_00010/run_00010.mx3,mumax_dataset_ku_by_block_disorder/run_00010,0,1764024018.196069,1764024064.146398
11,11,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.1071428571428571,mumax_dataset_ku_by_block_disorder/run_00011/run_00011.mx3,mumax_dataset_ku_by_block_disorder/run_00011,0,1764024064.147799,1764024113.8372953
12,12,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.1178571428571428,mumax_dataset_ku_by_block_disorder/run_00012/run_00012.mx3,mumax_dataset_ku_by_block_disorder/run_00012,0,1764024113.839603,1764024159.5938337
13,13,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.1285714285714285,mumax_dataset_ku_by_block_disorder/run_00013/run_00013.mx3,mumax_dataset_ku_by_block_disorder/run_00013,0,1764024159.595306,1764024206.2163055
14,14,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.1392857142857143,mumax_dataset_ku_by_block_disorder/run_00014/run_00014.mx3,mumax_dataset_ku_by_block_disorder/run_00014,0,1764024206.217928,1764024252.1866436
15,15,0,0.0,1400000.0,3.1e-11,1.0,0.0,0.15,mumax_dataset_ku_by_block_disorder/run_00015/run_00015.mx3,mumax_dataset_ku_by_block_disorder/run_00015,0,1764024252.1880715,1764024299.2134864
16,16,0,0.0001071428571428,1400000.0,3.1e-11,1.0,0.0,0.0,mumax_dataset_ku_by_block_disorder/run_00016/run_00016.mx3,mumax_dataset_ku_by_block_disorder/run_00016,0,1764024299.2152336,1764024346.2580278
17,17,0,0.0001071428571428,1400000.0,3.1e-11,1.0,0.0,0.0107142857142857,mumax_dataset_ku_by_block_disorder/run_00017/run_00017.mx3,mumax_dataset_ku_by_block_disorder/run_00017,0,1764024346.260414,1764024393.864883
18,18,0,0.0001071428571428,1400000.0,3.1e-11,1.0,0.0,0.0214285714285714,mumax_dataset_ku_by_block_disorder/run_00018/run_00018.mx3,mumax_dataset_ku_by_block_disorder/run_00018,0,1764024393.8664076,1764024446.1419415
19,19,0,0.0001071428571428,1400000.0,3.1e-11,1.0,0.0,0.0321428571428571,mumax_dataset_ku_by_block_disorder/run_00019/run_00019.mx3,mumax_dataset_ku_by_block_disorder/run_00019,0,1764024446.1436336,1764024492.7549682
20,20,0,0.0001071428571428,1400000.0,3.1e-11,1.0,0.0,0.0428571428571428,mumax_dataset_ku_by_block_disorder/run_00020/run_00020.mx3,mumax_dataset_ku_by_block_disorder/run_00020,0,1764024492.757144,1764024541.6842897
